audit_id,table_name,row_pk,column_name,issue_type,old_value,new_value,action,reason,created_at
1,clean.app_snapshot_clean,24,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
2,clean.app_snapshot_clean,114,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
3,clean.app_snapshot_clean,124,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
4,clean.app_snapshot_clean,127,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
5,clean.app_snapshot_clean,130,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
6,clean.app_snapshot_clean,131,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
7,clean.app_snapshot_clean,135,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
8,clean.app_snapshot_clean,165,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
9,clean.app_snapshot_clean,182,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
10,clean.app_snapshot_clean,185,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
11,clean.app_snapshot_clean,188,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
12,clean.app_snapshot_clean,230,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
13,clean.app_snapshot_clean,324,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
14,clean.app_snapshot_clean,481,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
15,clean.app_snapshot_clean,482,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
16,clean.app_snapshot_clean,483,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
17,clean.app_snapshot_clean,613,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
18,clean.app_snapshot_clean,616,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
19,clean.app_snapshot_clean,620,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
20,clean.app_snapshot_clean,623,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
21,clean.app_snapshot_clean,624,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
22,clean.app_snapshot_clean,626,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
23,clean.app_snapshot_clean,627,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
24,clean.app_snapshot_clean,629,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
25,clean.app_snapshot_clean,630,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
26,clean.app_snapshot_clean,631,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
27,clean.app_snapshot_clean,632,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
28,clean.app_snapshot_clean,633,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
29,clean.app_snapshot_clean,634,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
30,clean.app_snapshot_clean,635,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
31,clean.app_snapshot_clean,638,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
32,clean.app_snapshot_clean,640,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
33,clean.app_snapshot_clean,641,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
34,clean.app_snapshot_clean,642,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
35,clean.app_snapshot_clean,644,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
36,clean.app_snapshot_clean,645,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
37,clean.app_snapshot_clean,646,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
38,clean.app_snapshot_clean,647,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
39,clean.app_snapshot_clean,650,rating,rating_missing,null,null,PRESERVE_AND_FLAG,Rating is an analytical measure. Missing ratings are preserved as NULL to avoid biased imputation; rating_missing_flag is set to true.,2026-05-09 20:12:46.050314+00
