category_key,category_id,category_name,category_name_norm,inserted_at
1,1,BEAUTY,beauty,2026-05-09 20:49:58.217644+00
2,2,LIBRARIES_AND_DEMO,libraries_and_demo,2026-05-09 20:49:58.217644+00
3,3,DATING,dating,2026-05-09 20:49:58.217644+00
4,4,BOOKS_AND_REFERENCE,books_and_reference,2026-05-09 20:49:58.217644+00
5,5,PRODUCTIVITY,productivity,2026-05-09 20:49:58.217644+00
6,6,HOUSE_AND_HOME,house_and_home,2026-05-09 20:49:58.217644+00
7,7,TOOLS,tools,2026-05-09 20:49:58.217644+00
8,8,HEALTH_AND_FITNESS,health_and_fitness,2026-05-09 20:49:58.217644+00
9,9,NEWS_AND_MAGAZINES,news_and_magazines,2026-05-09 20:49:58.217644+00
10,10,SPORTS,sports,2026-05-09 20:49:58.217644+00
11,11,VIDEO_PLAYERS,video_players,2026-05-09 20:49:58.217644+00
12,12,SOCIAL,social,2026-05-09 20:49:58.217644+00
13,13,LIFESTYLE,lifestyle,2026-05-09 20:49:58.217644+00
14,14,PERSONALIZATION,personalization,2026-05-09 20:49:58.217644+00
15,15,BUSINESS,business,2026-05-09 20:49:58.217644+00
16,16,ART_AND_DESIGN,art_and_design,2026-05-09 20:49:58.217644+00
17,17,SHOPPING,shopping,2026-05-09 20:49:58.217644+00
18,18,MEDICAL,medical,2026-05-09 20:49:58.217644+00
19,19,GAME,game,2026-05-09 20:49:58.217644+00
20,20,COMICS,comics,2026-05-09 20:49:58.217644+00
21,21,PHOTOGRAPHY,photography,2026-05-09 20:49:58.217644+00
22,22,EVENTS,events,2026-05-09 20:49:58.217644+00
23,23,PARENTING,parenting,2026-05-09 20:49:58.217644+00
24,24,COMMUNICATION,communication,2026-05-09 20:49:58.217644+00
25,25,EDUCATION,education,2026-05-09 20:49:58.217644+00
26,26,WEATHER,weather,2026-05-09 20:49:58.217644+00
27,27,FAMILY,family,2026-05-09 20:49:58.217644+00
28,28,FINANCE,finance,2026-05-09 20:49:58.217644+00
29,29,FOOD_AND_DRINK,food_and_drink,2026-05-09 20:49:58.217644+00
30,30,TRAVEL_AND_LOCAL,travel_and_local,2026-05-09 20:49:58.217644+00
31,31,ENTERTAINMENT,entertainment,2026-05-09 20:49:58.217644+00
32,32,MAPS_AND_NAVIGATION,maps_and_navigation,2026-05-09 20:49:58.217644+00
33,33,AUTO_AND_VEHICLES,auto_and_vehicles,2026-05-09 20:49:58.217644+00
