last_updated_date_key,full_date,day,month,quarter,year,month_name,inserted_at
1,2010-05-21,21,5,2,2010,May,2026-05-09 20:49:58.217644+00
2,2011-01-30,30,1,1,2011,January,2026-05-09 20:49:58.217644+00
3,2011-03-16,16,3,1,2011,March,2026-05-09 20:49:58.217644+00
4,2011-04-11,11,4,2,2011,April,2026-05-09 20:49:58.217644+00
5,2011-04-16,16,4,2,2011,April,2026-05-09 20:49:58.217644+00
6,2011-04-18,18,4,2,2011,April,2026-05-09 20:49:58.217644+00
7,2011-05-12,12,5,2,2011,May,2026-05-09 20:49:58.217644+00
8,2011-06-23,23,6,2,2011,June,2026-05-09 20:49:58.217644+00
9,2011-06-26,26,6,2,2011,June,2026-05-09 20:49:58.217644+00
10,2011-06-29,29,6,2,2011,June,2026-05-09 20:49:58.217644+00
11,2011-07-10,10,7,3,2011,July,2026-05-09 20:49:58.217644+00
12,2011-09-20,20,9,3,2011,September,2026-05-09 20:49:58.217644+00
13,2011-09-22,22,9,3,2011,September,2026-05-09 20:49:58.217644+00
14,2011-10-12,12,10,4,2011,October,2026-05-09 20:49:58.217644+00
15,2011-12-01,1,12,4,2011,December,2026-05-09 20:49:58.217644+00
16,2011-12-03,3,12,4,2011,December,2026-05-09 20:49:58.217644+00
17,2012-01-12,12,1,1,2012,January,2026-05-09 20:49:58.217644+00
18,2012-01-17,17,1,1,2012,January,2026-05-09 20:49:58.217644+00
19,2012-01-18,18,1,1,2012,January,2026-05-09 20:49:58.217644+00
20,2012-02-06,6,2,1,2012,February,2026-05-09 20:49:58.217644+00
21,2012-02-08,8,2,1,2012,February,2026-05-09 20:49:58.217644+00
22,2012-02-27,27,2,1,2012,February,2026-05-09 20:49:58.217644+00
23,2012-04-09,9,4,2,2012,April,2026-05-09 20:49:58.217644+00
24,2012-06-01,1,6,2,2012,June,2026-05-09 20:49:58.217644+00
25,2012-06-17,17,6,2,2012,June,2026-05-09 20:49:58.217644+00
26,2012-06-19,19,6,2,2012,June,2026-05-09 20:49:58.217644+00
27,2012-06-27,27,6,2,2012,June,2026-05-09 20:49:58.217644+00
28,2012-07-20,20,7,3,2012,July,2026-05-09 20:49:58.217644+00
29,2012-07-30,30,7,3,2012,July,2026-05-09 20:49:58.217644+00
30,2012-08-17,17,8,3,2012,August,2026-05-09 20:49:58.217644+00
31,2012-08-18,18,8,3,2012,August,2026-05-09 20:49:58.217644+00
32,2012-08-24,24,8,3,2012,August,2026-05-09 20:49:58.217644+00
33,2012-09-19,19,9,3,2012,September,2026-05-09 20:49:58.217644+00
34,2012-09-27,27,9,3,2012,September,2026-05-09 20:49:58.217644+00
35,2012-10-08,8,10,4,2012,October,2026-05-09 20:49:58.217644+00
36,2012-11-08,8,11,4,2012,November,2026-05-09 20:49:58.217644+00
37,2012-11-11,11,11,4,2012,November,2026-05-09 20:49:58.217644+00
38,2012-11-22,22,11,4,2012,November,2026-05-09 20:49:58.217644+00
39,2012-11-26,26,11,4,2012,November,2026-05-09 20:49:58.217644+00
40,2012-11-28,28,11,4,2012,November,2026-05-09 20:49:58.217644+00
41,2012-12-19,19,12,4,2012,December,2026-05-09 20:49:58.217644+00
42,2013-01-25,25,1,1,2013,January,2026-05-09 20:49:58.217644+00
43,2013-02-03,3,2,1,2013,February,2026-05-09 20:49:58.217644+00
44,2013-02-10,10,2,1,2013,February,2026-05-09 20:49:58.217644+00
45,2013-02-11,11,2,1,2013,February,2026-05-09 20:49:58.217644+00
46,2013-02-12,12,2,1,2013,February,2026-05-09 20:49:58.217644+00
47,2013-02-15,15,2,1,2013,February,2026-05-09 20:49:58.217644+00
48,2013-02-18,18,2,1,2013,February,2026-05-09 20:49:58.217644+00
49,2013-02-22,22,2,1,2013,February,2026-05-09 20:49:58.217644+00
50,2013-03-06,6,3,1,2013,March,2026-05-09 20:49:58.217644+00
51,2013-04-05,5,4,2,2013,April,2026-05-09 20:49:58.217644+00
52,2013-04-10,10,4,2,2013,April,2026-05-09 20:49:58.217644+00
53,2013-04-22,22,4,2,2013,April,2026-05-09 20:49:58.217644+00
54,2013-04-25,25,4,2,2013,April,2026-05-09 20:49:58.217644+00
55,2013-05-02,2,5,2,2013,May,2026-05-09 20:49:58.217644+00
56,2013-05-06,6,5,2,2013,May,2026-05-09 20:49:58.217644+00
57,2013-05-09,9,5,2,2013,May,2026-05-09 20:49:58.217644+00
58,2013-05-14,14,5,2,2013,May,2026-05-09 20:49:58.217644+00
59,2013-05-18,18,5,2,2013,May,2026-05-09 20:49:58.217644+00
60,2013-05-21,21,5,2,2013,May,2026-05-09 20:49:58.217644+00
61,2013-05-22,22,5,2,2013,May,2026-05-09 20:49:58.217644+00
62,2013-05-25,25,5,2,2013,May,2026-05-09 20:49:58.217644+00
63,2013-06-02,2,6,2,2013,June,2026-05-09 20:49:58.217644+00
64,2013-06-04,4,6,2,2013,June,2026-05-09 20:49:58.217644+00
65,2013-06-05,5,6,2,2013,June,2026-05-09 20:49:58.217644+00
66,2013-06-12,12,6,2,2013,June,2026-05-09 20:49:58.217644+00
67,2013-06-15,15,6,2,2013,June,2026-05-09 20:49:58.217644+00
68,2013-06-25,25,6,2,2013,June,2026-05-09 20:49:58.217644+00
69,2013-06-26,26,6,2,2013,June,2026-05-09 20:49:58.217644+00
70,2013-07-01,1,7,3,2013,July,2026-05-09 20:49:58.217644+00
71,2013-07-03,3,7,3,2013,July,2026-05-09 20:49:58.217644+00
72,2013-07-17,17,7,3,2013,July,2026-05-09 20:49:58.217644+00
73,2013-07-18,18,7,3,2013,July,2026-05-09 20:49:58.217644+00
74,2013-07-20,20,7,3,2013,July,2026-05-09 20:49:58.217644+00
75,2013-07-26,26,7,3,2013,July,2026-05-09 20:49:58.217644+00
76,2013-07-27,27,7,3,2013,July,2026-05-09 20:49:58.217644+00
77,2013-07-31,31,7,3,2013,July,2026-05-09 20:49:58.217644+00
78,2013-08-01,1,8,3,2013,August,2026-05-09 20:49:58.217644+00
79,2013-08-07,7,8,3,2013,August,2026-05-09 20:49:58.217644+00
80,2013-08-08,8,8,3,2013,August,2026-05-09 20:49:58.217644+00
81,2013-08-09,9,8,3,2013,August,2026-05-09 20:49:58.217644+00
82,2013-08-10,10,8,3,2013,August,2026-05-09 20:49:58.217644+00
83,2013-08-14,14,8,3,2013,August,2026-05-09 20:49:58.217644+00
84,2013-08-15,15,8,3,2013,August,2026-05-09 20:49:58.217644+00
85,2013-08-16,16,8,3,2013,August,2026-05-09 20:49:58.217644+00
86,2013-08-17,17,8,3,2013,August,2026-05-09 20:49:58.217644+00
87,2013-08-19,19,8,3,2013,August,2026-05-09 20:49:58.217644+00
88,2013-08-22,22,8,3,2013,August,2026-05-09 20:49:58.217644+00
89,2013-08-26,26,8,3,2013,August,2026-05-09 20:49:58.217644+00
90,2013-08-27,27,8,3,2013,August,2026-05-09 20:49:58.217644+00
91,2013-08-30,30,8,3,2013,August,2026-05-09 20:49:58.217644+00
92,2013-08-31,31,8,3,2013,August,2026-05-09 20:49:58.217644+00
93,2013-09-04,4,9,3,2013,September,2026-05-09 20:49:58.217644+00
94,2013-09-05,5,9,3,2013,September,2026-05-09 20:49:58.217644+00
95,2013-09-08,8,9,3,2013,September,2026-05-09 20:49:58.217644+00
